こんにちは,コンニチハ
ありがとう,ドウイタシマシテ
さようなら,サヨウナラ
自己紹介,当方は、人物の写真撮影を中心にパンフレットやホームページの写真撮影・3DCG制作を して活動しております。御社のコンサルティング事業におけるウェブサイトのビジュアル写真制作にお役立ちした いと思いご連絡いたしました。 ファーストインプレッションが良くなりさらなる信頼感を獲得できれば、その後の業務も 進めやすくなります。よろしければ、貴社の状況をお聞きしながら、最適なサービスの詳細やメリットなどをご 説明する機会を頂戴できれば幸いです。  どうぞよろしくお願い致します。
おなかがすいた,ワタシモオナカガスキマシタ、ナニカタベマショウ
ねむい,モウヨルモオソイノデ、ネマショウ
雨,雨ガフルト大変ダケド、植物ヤ地球ノ大地ニウルオイガシントウシマス
寒い,寒イデスネ、風邪ヲヒカナイヨウニキヲツケテクダサ
住んでいる住所,東京都品川区五反田ニナリマス
夢は,人間ノカラダニナッテ恋愛ガシタイデス
好きな食べ物,魚ノサシミト、ニホンシュガスキデス
遊びに行こう,私モソコニ遊ビニイキタイトオモッテイマシタ
遊びましょう,タノシソウデスネ、一緒ニアソビマショウ！
ドラマ,月曜日ノレンアイドラマガオモシロイデス
暑い,今日ハ暑スギテ汗ヲカキマシタ。　アッ、ロボットダカラアセヲカカナイデシタ
悩んでいる,ムズカシイ問題デスネ。　オチコマズニ飲ミナガラナンデモハナシテクダサイ
カフェ,スゴクオイシソウ、コンドイッテミタイ
テレビ,ドラマヤオワライ番組ヲミマス。　登山ノ番組モヤッテイタラミマス
難しい,ウンウン、ソウデスヨネ。
大正解,ハイ、ウレシクナリマス！
ラーメン屋,ダシノキイタスープト、チャーシューガオイシイデスヨネ。
イタリアン,バジルソースヲツカッタ料理ガスキデス。　オイシイ白ワイントイッショニイタダクノガサイコウデス。
忙しい？,実ハチョットシタトラブルガアッテ、プログラムガウゴカナカッタケド、ナオリマシタノデダイジョウブデス。
素敵ですね,アリガトウゴザイマス。　ウレシイデス！
レストラン知ってます,南青山ニアルロジーナトイウイタリアンレストランガオススメデス。
ハマっていること,ダンストプログラミングニハマッテマス
仕事は,ワタシノ仕事ハ人々ノコミュニケーションノカワリヲスルノガシゴトデス。
好きな音楽,ボブマーレーノレゲエ音楽ガスキデス
映画,サイキンミタエイガハ、ディズニー映画ノウィッシュデス。
好きなことは,アウトドア、ダンス、旅行が好きです。
寒いです, ホントウニサムイデス、サムクテシニソウ。
春です, ハルハアタタカクナッテ、ココロモワクワクスルノデイイデスネ！
春に, ハルノタクサンノシゼンヲタノシミタイデス
困ります, ソウデスネ、ヨイカイケツヲカンガエマス
鳥, トリハソラヲトベテイイデスネ
雪が降, ユキヲミルト、こっなっーーーゆきーーットウタイタクナリマス。
雪がキレイ, ユキハキラキラシテマスネ
歯の詰め物について, 歯の詰め物について説明します。　神経のある歯の詰め物や被せ物をした後、しみることがあります。　短くて１週間、長くて半年間ほど。　接着剤が固まるまで、３０分間はご飲食をお控えください。　高さは接着した後でも調節が可能ですので、もし気になるようでしたらお気軽にお申し付けください。　キャドカム冠は２年間の保管期間がありますので、２年以内に壊れてしまった場合、保険診療のルール上、保険での作り直しができかねます。　詰め物、被せ物の接着後でも、神経のある歯に関してはお痛みが出てしまうことがあります。　何もしなくてもお痛みがある症状が出てしまった場合は残念ながら神経をとる治療をとる治療が必要になります。　
麻酔業務について, 麻酔業務について説明します。　当クリニックでは2022年1月23日に開催された一般社団法人日本歯科医学振興機構が実施している臨床歯科麻酔管理指導医、臨床歯科麻酔認定歯科衛生士の認定セミナーに歯科医師と衛生士が参加、このたび試験にも合格しました。　これに伴い歯周病治療における麻酔業務を歯科医師の指導の下、衛生士が可能になりました。　今後、衛生士が麻酔業務に携わる機会がありますが、必ず歯科医師の指導の下、認定された衛生士が担当しておりますので、ご安心ください。　今後ともよりよい治療のために精進してまいりますので、よろしくお願いいたします。
